ID_ESTACION,NAM,LAT,LON,ALT,SRC
PE114050,ANANEA,-14.6763,-69.5339,4660,SENAMHI
PE114038,AYAVIRI,-14.8688,-70.5916,3941,SENAMHI
PE100007,BOCATOMA,-17.5801944444444,-69.6267222222222,4260,SENAMHI
PE117041,CAPAZO,-17.1827,-69.7391,4423,SENAMHI
PE115022,CAYLLOMA,-15.18882,-71.77019,4327,SENAMHI
PE117013,CHUAPALCA,-17.3088,-69.6618,4250,SENAMHI
CH004599,CHUNGARA_AJATA,-18.2353,-69.1833,4585,EXPLORADOR_CLIMATICO
PE114035,CHUQUIBAMBILLA,-14.7879,-70.7285,3918,SENAMHI
PE115053,COJATA,-15.0118,-69.3612,4347,SENAMHI
PE114058,CRUCERO,-14.36419,-70.02592,4128,SENAMHI
PE115044,CRUCERO ALTO,-15.7643,-70.9113,4521,SENAMHI
PE116022,EL FRAYLE,-16.15482,-71.1891,4131,SENAMHI
BO004074,EL_ALTO_INTL,-16.513,-68.192,4062,EXPLORADOR_CLIMATICO
PE115029,IMATA,-15.84266,-71.09062,4475,SENAMHI
PE111583,JUNIN,-11.14328,-75.98878,4101,SENAMHI
PE116033,LARAQUERI,-16.13599,-70.04587,3939,SENAMHI
PE116046,LAS_SALINAS,-16.3177777777778,-71.1480555555556,4378,SENAMHI
PE115023,LA_ANGOSTURA,-15.1825305555556,-71.6512333333333,4258,SENAMHI
PE114034,LLALLY,-14.95286,-70.88052,3985,SENAMHI
PE114039,MACUSANI,-14.06674,-70.42205,4363,SENAMHI
PE111028,MARCAPOMACOCHA,-11.4043972222222,-76.3248638888889,4447,SENAMHI
PE116026,MAZO CRUZ,-16.73888,-69.71544,3980,SENAMHI
PE115051,MAÑAZO,-15.79944,-70.33949,3931,SENAMHI
PE114042,MUÑANI,-14.76694,-69.95181,3932,SENAMHI
PE115027,PAMPAHUTA,-15.4837,-70.676,4311,SENAMHI
PE117043,PAUCARANI,-17.53291,-69.78039,4625,SENAMHI
PE115126,PILLONES,-15.98124,-71.2167,4432,SENAMHI
PE116029,PIZACOMA,-16.9043,-69.3695,3930,SENAMHI
PE115101,PORPERA,-15.3142,-71.3064,4396,SENAMHI
PE114040,PROGRESO,-14.6717,-70.3678,3925,SENAMHI
PE115140,SANTA LUCIA,-15.6941,-70.5993,4045,SENAMHI
PE114047,SANTA ROSA,-14.6178,-70.79278,3957,SENAMHI
PE115098,TISCO,-15.34577,-71.44702,4195,SENAMHI
PE117014,VILACOTA,-17.07906,-70.04302,4390,SENAMHI
PE114032,YAURI,-14.8029166666667,-71.43075,3916,SENAMHI
